iter	Passed	Remaining
192	360	1508
193	362	1504
194	363	1501
195	365	1498
196	367	1498
197	369	1496
198	371	1494
199	372	1490
200	374	1487
201	375	1484
202	377	1481
203	378	1477
204	380	1474
205	382	1474
206	385	1475
207	386	1471
208	388	1469
209	389	1467
210	391	1464
211	393	1461
212	394	1458
213	397	1458
214	399	1459
215	401	1456
216	402	1453
217	404	1450
218	405	1447
219	407	1443
220	408	1440
221	410	1438
222	417	1453
223	419	1452
224	421	1450
225	423	1450
226	426	1451
227	429	1453
228	430	1450
229	432	1448
230	444	1480
231	460	1523
232	468	1542
233	474	1553
234	478	1557
235	482	1560
236	484	1558
237	485	1555
238	488	1554
239	490	1552
240	491	1549
241	493	1545
242	494	1541
243	496	1538
244	497	1534
245	499	1531
246	507	1548
247	509	1544
248	510	1540
249	512	1536
250	514	1533
251	515	1529
252	527	1556
253	529	1556
254	531	1553
255	533	1551
256	536	1549
257	538	1548
258	540	1545
259	541	1542
260	543	1539
261	545	1535
262	546	1532
263	548	1529
264	551	1528
265	552	1525
266	554	1522
267	556	1519
268	557	1516
269	560	1514
270	562	1512
271	564	1512
272	567	1512
273	591	1566
274	593	1564
275	595	1562
276	599	1565
277	603	1566
278	606	1566
279	608	1565
280	611	1564
281	614	1564
282	616	1561
283	618	1558
284	620	1556
285	622	1553
286	624	1550
287	625	1547
288	628	1546
289	630	1543
290	632	1540
291	634	1539
292	637	1537
293	638	1533
294	640	1529
295	643	1529
296	646	1529
297	647	1526
298	650	1524
299	651	1521
300	653	1517
301	655	1514
302	658	1514
303	661	1514
304	663	1512
305	665	1510
306	667	1507
307	669	1504
308	671	1502
309	675	1503
310	677	1502
311	680	1500
312	682	1497
313	684	1495
314	686	1492
315	689	1493
316	700	1510
317	703	1508
318	705	1505
319	708	1505
320	710	1502
321	712	1499
322	713	1496
323	715	1493
324	717	1490
325	720	1490
326	723	1488
327	725	1485
328	726	1482
329	728	1480
330	730	1476
331	732	1474
332	737	1477
333	739	1474
334	740	1470
335	743	1468
336	745	1465
337	746	1462
338	752	1466
339	754	1463
340	756	1461
341	757	1457
342	759	1454
343	761	1451
344	768	1458
345	770	1456
346	773	1456
347	775	1453
348	783	1461
349	789	1467
350	792	1465
351	796	1466
352	798	1464
353	802	1463
354	804	1461
355	807	1460
356	813	1465
357	816	1464
358	818	1461
359	820	1459
360	829	1468
361	831	1465
362	832	1461
363	834	1457
364	836	1454
365	844	1462
366	846	1460
367	848	1457
368	850	1453
369	852	1451
370	880	1492
371	885	1494
372	888	1493
373	893	1495
374	897	1495
375	914	1518
376	918	1518
377	924	1521
378	930	1523
379	933	1522
380	936	1521
381	939	1519
382	941	1516
383	943	1513
384	948	1514
385	955	1519
386	964	1527
387	967	1526
388	971	1526
389	974	1524
390	976	1521
391	978	1518
392	980	1514
393	982	1511
394	985	1509
395	988	1507
396	990	1504
397	992	1501
398	994	1498
399	996	1494
400	998	1491
401	1000	1488
402	1002	1485
403	1004	1481
404	1006	1479
405	1008	1475
406	1010	1472
407	1012	1469
408	1015	1467
409	1018	1465
410	1020	1461
411	1023	1460
412	1026	1459
413	1030	1459
414	1033	1457
415	1035	1454
416	1054	1473
417	1056	1471
418	1059	1469
419	1062	1467
420	1065	1465
421	1068	1463
422	1071	1461
423	1075	1460
424	1078	1458
425	1080	1456
426	1082	1453
427	1084	1449
428	1086	1446
429	1090	1444
430	1093	1443
431	1095	1439
432	1097	1437
433	1099	1434
434	1101	1430
435	1106	1431
436	1118	1441
437	1120	1437
438	1122	1433
439	1124	1431
440	1126	1427
441	1128	1424
442	1130	1420
443	1132	1417
444	1133	1413
445	1135	1410
446	1136	1406
447	1138	1403
448	1140	1399
449	1141	1395
450	1143	1391
451	1145	1388
452	1146	1384
453	1148	1381
454	1149	1377
455	1151	1373
456	1153	1370
457	1155	1367
458	1156	1363
459	1158	1360
460	1160	1357
461	1162	1353
462	1164	1350
463	1165	1346
464	1167	1343
465	1168	1339
466	1170	1335
467	1172	1332
468	1173	1329
469	1175	1325
470	1176	1321
471	1178	1318
472	1179	1314
473	1181	1311
474	1183	1308
475	1184	1304
476	1186	1301
477	1189	1298
478	1191	1295
479	1192	1291
480	1194	1288
481	1196	1285
482	1198	1282
483	1199	1278
484	1202	1276
485	1203	1273
486	1205	1269
487	1206	1266
488	1208	1262
489	1210	1259
490	1212	1256
491	1215	1255
492	1218	1252
493	1219	1249
494	1221	1246
495	1223	1242
496	1224	1239
497	1226	1236
498	1228	1232
499	1231	1231
500	1232	1228
501	1234	1224
502	1236	1221
503	1238	1218
504	1240	1215
505	1245	1215
506	1247	1212
507	1249	1209
508	1250	1206
509	1253	1204
510	1254	1200
511	1256	1197
512	1259	1196
513	1263	1195
514	1266	1192
515	1269	1190
516	1271	1188
517	1273	1185
518	1275	1182
519	1276	1178
520	1278	1175
521	1280	1172
522	1282	1169
523	1283	1166
524	1285	1163
525	1288	1160
526	1289	1157
527	1291	1154
528	1292	1150
529	1294	1147
530	1295	1144
531	1297	1141
532	1298	1137
533	1300	1134
534	1301	1131
535	1303	1128
536	1304	1125
537	1306	1121
538	1307	1118
539	1309	1115
540	1310	1112
541	1312	1108
542	1313	1105
543	1315	1102
544	1317	1099
545	1318	1096
546	1320	1093
547	1321	1089
548	1322	1086
549	1324	1083
550	1325	1080
551	1326	1076
552	1328	1073
553	1329	1070
554	1331	1067
555	1332	1064
556	1334	1061
557	1335	1058
558	1337	1054
559	1338	1051
560	1340	1048
561	1341	1045
562	1343	1042
563	1345	1039
564	1346	1036
565	1348	1033
566	1349	1030
567	1351	1027
568	1352	1024
569	1353	1021
570	1355	1018
571	1356	1015
572	1358	1012
573	1360	1009
574	1362	1006
575	1363	1003
576	1365	1001
577	1367	998
578	1368	995
579	1369	991
580	1371	989
581	1373	986
582	1374	983
583	1375	980
584	1377	977
585	1378	974
586	1380	971
587	1382	968
588	1383	965
589	1385	962
590	1386	959
591	1388	956
592	1389	953
593	1391	951
594	1393	948
595	1394	945
596	1396	942
597	1397	939
598	1399	936
599	1400	933
600	1402	931
601	1403	928
602	1404	925
603	1406	922
604	1407	919
605	1409	916
606	1410	913
607	1412	910
608	1414	908
609	1416	905
610	1418	902
611	1419	899
612	1421	897
613	1422	894
614	1423	891
615	1425	888
616	1426	885
617	1428	883
618	1430	880
619	1431	877
620	1432	874
621	1434	871
622	1435	868
623	1437	865
624	1438	863
625	1440	860
626	1442	857
627	1443	855
628	1445	852
629	1446	849
630	1448	846
631	1449	844
632	1450	841
633	1452	838
634	1454	835
635	1455	833
636	1457	830
637	1458	827
638	1460	824
639	1461	822
640	1462	819
641	1464	816
642	1465	813
643	1467	811
644	1469	808
645	1470	805
646	1473	803
647	1474	801
648	1476	798
649	1477	795
650	1478	792
651	1480	790
652	1481	787
653	1483	784
654	1484	782
655	1487	779
656	1489	777
657	1491	775
658	1493	772
659	1494	769
660	1496	767
661	1498	764
662	1499	762
663	1501	759
664	1503	757
665	1505	754
666	1506	752
667	1508	749
668	1509	747
669	1511	744
670	1512	741
671	1514	739
672	1516	736
673	1518	734
674	1519	731
675	1521	729
676	1522	726
677	1523	723
678	1525	721
679	1526	718
680	1528	715
681	1530	713
682	1532	711
683	1534	708
684	1536	706
685	1537	703
686	1539	701
687	1540	698
688	1542	696
689	1544	694
690	1547	691
691	1549	689
692	1551	687
693	1553	685
694	1556	682
695	1559	680
696	1561	678
697	1565	677
698	1567	674
699	1568	672
700	1571	670
701	1573	668
702	1575	665
703	1577	663
704	1579	660
705	1581	658
706	1582	656
707	1584	653
708	1586	651
709	1588	648
710	1590	646
711	1591	643
712	1593	641
713	1594	638
714	1596	636
715	1598	633
716	1600	631
717	1602	629
718	1604	627
719	1607	625
720	1609	622
721	1611	620
722	1612	617
723	1614	615
724	1616	613
725	1618	610
726	1619	608
727	1621	605
728	1622	603
729	1624	600
730	1626	598
731	1628	596
732	1629	593
733	1631	591
734	1632	588
735	1634	586
736	1636	583
737	1637	581
738	1639	579
739	1641	576
740	1642	574
741	1644	571
742	1645	569
743	1647	566
744	1649	564
745	1651	562
746	1652	559
747	1654	557
748	1656	555
749	1658	552
750	1659	550
751	1661	547
752	1662	545
753	1664	543
754	1666	540
755	1668	538
756	1669	536
757	1671	533
758	1672	531
759	1674	528
760	1675	526
761	1677	523
762	1678	521
763	1680	519
764	1682	516
765	1683	514
766	1685	511
767	1686	509
768	1688	507
769	1689	504
770	1691	502
771	1692	499
772	1694	497
773	1695	495
774	1697	492
775	1699	490
776	1700	488
777	1702	485
778	1703	483
779	1704	480
780	1706	478
781	1707	476
782	1709	473
783	1711	471
784	1713	469
785	1714	466
786	1716	464
787	1717	462
788	1719	459
789	1720	457
790	1722	455
791	1723	452
792	1725	450
793	1726	447
794	1728	445
795	1729	443
796	1731	440
797	1732	438
798	1734	436
799	1735	433
800	1737	431
801	1738	429
802	1740	426
803	1741	424
804	1743	422
805	1745	420
806	1746	417
807	1747	415
808	1749	412
809	1750	410
810	1752	408
811	1754	406
812	1756	403
813	1757	401
814	1759	399
815	1760	397
816	1762	394
817	1763	392
818	1765	390
819	1766	387
820	1768	385
821	1769	383
822	1771	380
823	1772	378
824	1774	376
825	1775	374
826	1777	371
827	1778	369
828	1779	367
829	1781	364
830	1782	362
831	1784	360
832	1785	358
833	1787	355
834	1788	353
835	1790	351
836	1791	348
837	1793	346
838	1794	344
839	1796	342
840	1798	339
841	1799	337
842	1800	335
843	1802	333
844	1804	330
845	1805	328
846	1807	326
847	1808	324
848	1810	321
849	1811	319
850	1813	317
851	1814	315
852	1816	312
853	1817	310
854	1819	308
855	1821	306
856	1822	304
857	1824	301
858	1826	299
859	1828	297
860	1829	295
861	1832	293
862	1833	291
863	1835	288
864	1836	286
865	1838	284
866	1839	282
867	1841	280
868	1842	277
869	1843	275
870	1845	273
871	1846	271
872	1848	268
873	1849	266
874	1850	264
875	1852	262
876	1854	260
877	1855	257
878	1856	255
879	1858	253
880	1859	251
881	1861	249
882	1862	246
883	1864	244
884	1865	242
885	1867	240
886	1869	238
887	1870	235
888	1872	233
889	1873	231
890	1874	229
891	1876	227
892	1877	224
893	1878	222
894	1880	220
895	1883	218
896	1884	216
897	1886	214
898	1887	212
899	1889	209
900	1890	207
901	1892	205
902	1893	203
903	1894	201
904	1896	199
905	1898	197
906	1900	194
907	1901	192
908	1903	190
909	1904	188
910	1905	186
911	1907	184
912	1908	181
913	1910	179
914	1912	177
915	1914	175
916	1915	173
917	1916	171
918	1918	169
919	1919	166
920	1921	164
921	1922	162
922	1923	160
923	1925	158
924	1928	156
925	1929	154
926	1931	152
927	1932	149
928	1934	147
929	1935	145
930	1937	143
931	1938	141
932	1941	139
933	1943	137
934	1945	135
935	1946	133
936	1947	130
937	1949	128
938	1950	126
939	1952	124
940	1953	122
941	1955	120
942	1958	118
943	1959	116
944	1961	114
945	1962	112
946	1963	109
947	1965	107
948	1966	105
949	1968	103
950	1970	101
951	1973	99
952	1975	97
953	1976	95
954	1978	93
955	1979	91
956	1981	89
957	1983	86
958	1984	84
959	1987	82
960	1988	80
961	1990	78
962	1991	76
963	1993	74
964	1994	72
965	1996	70
966	1997	68
967	1999	66
968	2001	64
969	2003	61
970	2005	59
971	2006	57
972	2007	55
973	2008	53
974	2010	51
975	2012	49
976	2013	47
977	2015	45
978	2017	43
979	2018	41
980	2020	39
981	2021	37
982	2022	34
983	2024	32
984	2026	30
985	2027	28
986	2028	26
987	2030	24
988	2032	22
989	2034	20
990	2035	18
991	2037	16
992	2038	14
993	2040	12
994	2041	10
995	2043	8
996	2044	6
997	2047	4
998	2049	2
999	2050	0
