iter	RMSE
187	0.1213471673
188	0.1211568747
189	0.120831215
190	0.1207548275
191	0.1205324278
192	0.1204585576
193	0.1203632357
194	0.1201856293
195	0.120084335
196	0.1199576189
197	0.1198104779
198	0.1196428661
199	0.119453014
200	0.1194323196
201	0.1192189416
202	0.1191753076
203	0.1189448362
204	0.1189143224
205	0.1188890203
206	0.1188334736
207	0.1187314335
208	0.118584463
209	0.1184298242
210	0.118351331
211	0.1182986567
212	0.1181871509
213	0.1179963213
214	0.1178801302
215	0.1176929998
216	0.1174501804
217	0.1172709554
218	0.1170636873
219	0.1170414345
220	0.1169886819
221	0.1169217699
222	0.1167696243
223	0.1165718493
224	0.1163313253
225	0.1161746145
226	0.1159979069
227	0.1159747327
228	0.1158086859
229	0.1156451484
230	0.1154737188
231	0.1154511501
232	0.1154276505
233	0.115250112
234	0.1151986851
235	0.1151708668
236	0.1151532708
237	0.1151344886
238	0.115039472
239	0.1148906522
240	0.1148177255
241	0.1147657538
242	0.1146600422
243	0.114597185
244	0.1144351497
245	0.1142801365
246	0.1141537355
247	0.1140257388
248	0.1139888749
249	0.1139761316
250	0.1138925411
251	0.1138688106
252	0.1137489939
253	0.1136805501
254	0.113529795
255	0.1133856443
256	0.1132647078
257	0.1131818393
258	0.1130358453
259	0.1129809997
260	0.1129018303
261	0.1128320437
262	0.1126549073
263	0.1125724503
264	0.1124245467
265	0.1122976954
266	0.1121801485
267	0.1121226658
268	0.11200824
269	0.1118234514
270	0.1117875369
271	0.1115657724
272	0.1115099378
273	0.1113014138
274	0.1110991082
275	0.1109731641
276	0.1108472787
277	0.1106573465
278	0.1104503856
279	0.1103477777
280	0.1102281044
281	0.1101219762
282	0.1099831127
283	0.1099588633
284	0.1098053289
285	0.1097663195
286	0.1097485979
287	0.1095942004
288	0.1094595583
289	0.1093881977
290	0.1092829015
291	0.1091112108
292	0.1090110743
293	0.1088721848
294	0.1088166573
295	0.1086442669
296	0.108529535
297	0.1084916572
298	0.1083366036
299	0.1081893307
300	0.1081372888
301	0.1080069143
302	0.1079837051
303	0.1077826799
304	0.1076965923
305	0.1076589203
306	0.10749558
307	0.1073862675
308	0.1073461324
309	0.1073016598
310	0.1071527083
311	0.1068916134
312	0.1066892774
313	0.1066000748
314	0.1064595719
315	0.1064490788
316	0.1062918721
317	0.1061800375
318	0.1060633878
319	0.106046039
320	0.1059862218
321	0.1058281577
322	0.105709426
323	0.1056604954
324	0.1055277989
325	0.1054355114
326	0.1052413939
327	0.1051352983
328	0.1049584882
329	0.1048027106
330	0.1047336021
331	0.1046675726
332	0.1045553449
333	0.1044172541
334	0.1044068508
335	0.1042870747
336	0.1042240031
337	0.1041474093
338	0.1040865833
339	0.103999179
340	0.1039519213
341	0.103882129
342	0.1036712361
343	0.1035268271
344	0.1032785062
345	0.1032192693
346	0.1030538812
347	0.1030454032
348	0.1029305643
349	0.1027953381
350	0.1027550851
351	0.1026196055
352	0.1025277501
353	0.1024734475
354	0.1024299874
355	0.1023582343
356	0.1022864318
357	0.1021962828
358	0.102132425
359	0.1019970722
360	0.1018710741
361	0.1018042357
362	0.1017727148
363	0.1016326746
364	0.1016090791
365	0.1015039552
366	0.1013902937
367	0.1013639799
368	0.1013549218
369	0.1012438482
370	0.1011740861
371	0.1011585905
372	0.1011504959
373	0.1010431313
374	0.1009113692
375	0.1007870042
376	0.100726253
377	0.1006508248
378	0.1005174155
379	0.1004080174
380	0.1002590607
381	0.1001966597
382	0.1001758791
383	0.1000754872
384	0.1000695221
385	0.09993650539
386	0.09988073689
387	0.09976352059
388	0.0996131951
389	0.09944911837
390	0.09925620087
391	0.09921173605
392	0.09916217334
393	0.09907464052
394	0.09897309183
395	0.09886981414
396	0.09881986239
397	0.09871272085
398	0.09854757966
399	0.09843122271
400	0.09838432618
401	0.09829779312
402	0.09822588747
403	0.09809820725
404	0.09800278857
405	0.0979478047
406	0.09786874276
407	0.09776841152
408	0.09771191806
409	0.09757590498
410	0.09746079339
411	0.09736520667
412	0.09731588876
413	0.097294258
414	0.097208072
415	0.09714772974
416	0.09706848816
417	0.09696023269
418	0.09688897172
419	0.09679782461
420	0.09667962917
421	0.09652819149
422	0.09648754286
423	0.09645071674
424	0.09638853871
425	0.0963305156
426	0.09623576127
427	0.0961836622
428	0.09605620507
429	0.09604587605
430	0.09593204145
431	0.09582231555
432	0.09568844683
433	0.0956665355
434	0.09553992676
435	0.09542791987
436	0.0953086287
437	0.09521969781
438	0.09519973874
439	0.09508007924
440	0.09492492307
441	0.09485879565
442	0.094766974
443	0.09465140847
444	0.09451604696
445	0.09439112402
446	0.09426281584
447	0.09421189461
448	0.09406581022
449	0.09394949715
450	0.09381787683
451	0.09376319493
452	0.09373833819
453	0.09368095055
454	0.09359486801
455	0.09349428734
456	0.09338582989
457	0.09324294495
458	0.09323648923
459	0.09315914721
460	0.09312318676
461	0.09305810444
462	0.09299469854
463	0.0929156533
464	0.0928269297
465	0.09271472658
466	0.09253498444
467	0.0924901186
468	0.09242513465
469	0.09232321854
470	0.09216308396
471	0.09213308147
472	0.09199564702
473	0.09193329414
474	0.09192650186
475	0.0917785162
476	0.09172056951
477	0.0915648194
478	0.09143172022
479	0.09135628701
480	0.09120916813
481	0.09115530327
482	0.09115076585
483	0.09109406097
484	0.09097030124
485	0.09092411256
486	0.09083283411
487	0.09082439524
488	0.0907437215
489	0.09068310841
490	0.09057443698
491	0.09052490498
492	0.0903819321
493	0.09033352064
494	0.09023414283
495	0.09011450136
496	0.08999168942
497	0.08994993183
498	0.08988464879
499	0.08978348878
500	0.08975823774
501	0.08975526759
502	0.08967320463
503	0.08962065329
504	0.08952161212
505	0.08944241571
506	0.08941850911
507	0.08929820587
508	0.08925630662
509	0.08915731367
510	0.08907210465
511	0.08900325315
512	0.08893563805
513	0.08877066664
514	0.0886278448
515	0.08850989341
516	0.08839161781
517	0.08827402152
518	0.08817028279
519	0.08810436262
520	0.08806094424
521	0.08801117566
522	0.08795397764
523	0.08780411568
524	0.08760602921
525	0.08755930735
526	0.08745497831
527	0.08744147098
528	0.08743021618
529	0.0874115613
530	0.08735740111
531	0.08727335546
532	0.08723483352
533	0.08714573387
534	0.08713120346
535	0.08712686949
536	0.08706125999
537	0.08693357947
538	0.0868066618
539	0.08679005666
540	0.0866887238
541	0.08661807909
542	0.0865525571
543	0.08646835699
544	0.08642648097
545	0.08639163893
546	0.08638915814
547	0.08628425811
548	0.08623144872
549	0.08617306738
550	0.08610714914
551	0.08601420602
552	0.08592912462
553	0.0858688231
554	0.08582954451
555	0.08576791132
556	0.08573913168
557	0.08561938428
558	0.08553278534
559	0.08545957938
560	0.08538195574
561	0.08531437208
562	0.08525075738
563	0.08512207214
564	0.08502292553
565	0.08488704649
566	0.08477972929
567	0.08477221682
568	0.08467414125
569	0.08457095495
570	0.08450205471
571	0.08442514956
572	0.08437415267
573	0.0842568032
574	0.08422040431
575	0.08416059624
576	0.08408888764
577	0.08407159274
578	0.08394391551
579	0.0838690446
580	0.08369823308
581	0.08363570822
582	0.08357754339
583	0.08353672821
584	0.08353212063
585	0.08347124112
586	0.08340673872
587	0.08333898967
588	0.08320334716
589	0.08311304372
590	0.08305626068
591	0.08295418407
592	0.08284442299
593	0.08271753393
594	0.08266298259
595	0.08263267538
596	0.08257942526
597	0.08251275315
598	0.08242903993
599	0.08240202166
600	0.08227772701
601	0.08219204238
602	0.08212485227
603	0.08202015084
604	0.08197149477
605	0.08185094205
606	0.0817572673
607	0.08163626596
608	0.08153733299
609	0.0815009832
610	0.08141627083
611	0.08132951105
612	0.08129437923
613	0.08122284771
614	0.08106412162
615	0.08101236003
616	0.08095219204
617	0.08086054607
618	0.08076579202
619	0.08073449292
620	0.08068434212
621	0.08062697636
622	0.08058387825
623	0.08054696222
624	0.08046831891
625	0.08039744923
626	0.08033101247
627	0.08023632367
628	0.08018130126
629	0.08009610252
630	0.08008109177
631	0.08001045102
632	0.07994143781
633	0.07986870405
634	0.07983871736
635	0.07976957235
636	0.0796624851
637	0.0796172682
638	0.07944749704
639	0.07939425466
640	0.07936374854
641	0.07930751909
642	0.07921477043
643	0.07915393439
644	0.07908099382
645	0.07902762909
646	0.07901191329
647	0.07895855974
648	0.07884341511
649	0.0787811212
650	0.07877126816
651	0.07872795306
652	0.07866106887
653	0.07862632161
654	0.07852923986
655	0.07847257763
656	0.07837418049
657	0.07829577749
658	0.07822957294
659	0.07816481397
660	0.0781369284
661	0.07808295955
662	0.07800517711
663	0.07795866146
664	0.07790072154
665	0.07787850584
666	0.07783699279
667	0.07778215802
668	0.07770888854
669	0.07768318906
670	0.07763019824
671	0.07754900201
672	0.07748077953
673	0.07735211422
674	0.07731312085
675	0.0772606543
676	0.07720284462
677	0.07716423177
678	0.0771261243
679	0.0770661657
680	0.0769797417
681	0.07692880976
682	0.07688659423
683	0.07680770485
684	0.07672012587
685	0.07664745998
686	0.07658969997
687	0.07651820581
688	0.07644837825
689	0.07642127368
690	0.07637429949
691	0.07625601229
692	0.07614631184
693	0.07608870994
694	0.07602924864
695	0.07595408491
696	0.07587825959
697	0.07579781697
698	0.07569657072
699	0.07564310071
700	0.07556737109
701	0.07551240377
702	0.07542854783
703	0.07537139842
704	0.07529711168
705	0.07525270897
706	0.07518007429
707	0.07510146148
708	0.0750317195
709	0.07499652687
710	0.07496974926
711	0.07485087692
712	0.07481701186
713	0.07478109397
714	0.07466038687
715	0.07457638197
716	0.0745368322
717	0.07450454604
718	0.07446716014
719	0.07441334417
720	0.07429697827
721	0.07423797661
722	0.07416426987
723	0.07411472431
724	0.07411077349
725	0.07406154036
726	0.07403922467
727	0.07398014919
728	0.07389636764
729	0.07386518539
730	0.07377111068
731	0.07373389521
732	0.07366604273
733	0.07361950685
734	0.07356511739
735	0.07349658492
736	0.07345056422
737	0.07338745004
738	0.07334219683
739	0.07324152522
740	0.07316448709
741	0.07307791747
742	0.07304858339
743	0.07300383951
744	0.07297673183
745	0.07292839055
746	0.07290591497
747	0.07283044967
748	0.07279833033
749	0.07268615817
750	0.07263532618
751	0.0726217938
752	0.07258948582
753	0.07253366995
754	0.07239578634
755	0.07230535541
756	0.07226168728
757	0.07223691644
758	0.07216857551
759	0.07209072625
760	0.07202312986
761	0.07198142017
762	0.07193525094
763	0.07189303352
764	0.07185058394
765	0.0718264491
766	0.07179084348
767	0.07178589427
768	0.0717332341
769	0.07163996762
770	0.07157412334
771	0.07155275466
772	0.07147848938
773	0.0714302703
774	0.07134551506
775	0.07126899273
776	0.07121150003
777	0.07119466491
778	0.07115454259
779	0.07110331884
780	0.0710917138
781	0.07101771594
782	0.07097792869
783	0.07093032293
784	0.07089195748
785	0.07081698893
786	0.07077210707
787	0.07070057867
788	0.07062031969
789	0.07057111262
790	0.07050006659
791	0.07046474835
792	0.07039339471
793	0.07035101712
794	0.07029492325
795	0.07022523588
796	0.07016755476
797	0.07013757064
798	0.07007888948
799	0.06999224876
800	0.06991881074
801	0.06988012658
802	0.06981189678
803	0.06979049904
804	0.06971699203
805	0.06966088974
806	0.06955514824
807	0.0695048117
808	0.06940430998
809	0.06937840996
810	0.06933813442
811	0.06927580965
812	0.0692361251
813	0.06918168673
814	0.06911955275
815	0.06908069155
816	0.06902936459
817	0.06896016258
818	0.06893587478
819	0.06889024486
820	0.06887128237
821	0.06882150875
822	0.06878537632
823	0.06873465828
824	0.06864397827
825	0.0685297353
826	0.0684923137
827	0.06839311936
828	0.06836269164
829	0.06831979505
830	0.06829689945
831	0.06823663035
832	0.06815905626
833	0.06813236137
834	0.06803882858
835	0.0679878989
836	0.06793196843
837	0.06789832453
838	0.06784224894
839	0.06777472676
840	0.06772083718
841	0.06765956843
842	0.06761912753
843	0.06755009331
844	0.06752983727
845	0.06745428312
846	0.06740672314
847	0.06737782756
848	0.06726885877
849	0.06722109607
850	0.06720401292
851	0.06718014401
852	0.06714531396
853	0.06707223556
854	0.06704324481
855	0.06698778177
856	0.0669247469
857	0.06690039182
858	0.06685004692
859	0.06677068521
860	0.06675589235
861	0.06672456471
862	0.06668631159
863	0.06657105762
864	0.06652092174
865	0.06649034503
866	0.06647086942
867	0.06645395934
868	0.06639152826
869	0.06633526849
870	0.06629405682
871	0.0662283259
872	0.06620193622
873	0.06616122875
874	0.06612246771
875	0.06608190858
876	0.06605227856
877	0.06600676807
878	0.06598332312
879	0.06594925086
880	0.06591119039
881	0.06585701641
882	0.06584339121
883	0.06581566947
884	0.06574851843
885	0.06572151067
886	0.06565182673
887	0.06560711074
888	0.06554274349
889	0.06549765998
890	0.06543426829
891	0.06541440263
892	0.06539307871
893	0.06534341674
894	0.06526405325
895	0.06521925287
896	0.06515064102
897	0.06510593232
898	0.06498194614
899	0.06493923528
900	0.06489869266
901	0.06484408872
902	0.06478467051
903	0.06474676694
904	0.0646929952
905	0.06463358476
906	0.06461081157
907	0.06453753709
908	0.06450527074
909	0.06440613815
910	0.06437669075
911	0.06433458215
912	0.06430321433
913	0.06428105481
914	0.06423131267
915	0.06419267116
916	0.06416150762
917	0.06408613876
918	0.06401083553
919	0.06392288252
920	0.06391639769
921	0.06386225426
922	0.06383463342
923	0.06379090492
924	0.06371956867
925	0.06366970388
926	0.06362463689
927	0.06359468829
928	0.06355339718
929	0.06352046797
930	0.06345269532
931	0.06340772834
932	0.06334633565
933	0.06328636986
934	0.06324356476
935	0.06319208132
936	0.0631384537
937	0.06311581428
938	0.06305338501
939	0.0630045589
940	0.06294698074
941	0.06289245015
942	0.06285332521
943	0.06280982797
944	0.06277424822
945	0.06269727382
946	0.06266987313
947	0.06259103016
948	0.06255169883
949	0.0624977191
950	0.06245343529
951	0.06238589463
952	0.06233222877
953	0.06229039779
954	0.06222444246
955	0.06218646632
956	0.06218155929
957	0.06216255743
958	0.06209430166
959	0.06202572008
960	0.06200042575
961	0.06197228551
962	0.06194453371
963	0.06190528779
964	0.06188231873
965	0.06186599175
966	0.06181926988
967	0.06180171026
968	0.06177533158
969	0.0617326887
970	0.06165816172
971	0.06162572489
972	0.06157966442
973	0.06153068348
974	0.06149358229
975	0.06146518213
976	0.06141025738
977	0.06136815998
978	0.06131799265
979	0.06130265625
980	0.06122195046
981	0.06110811948
982	0.06108049281
983	0.06104696594
984	0.06100073372
985	0.0609688054
986	0.0609143066
987	0.0608864916
988	0.06086150216
989	0.06079750063
990	0.06074525105
991	0.0607040784
992	0.06067836853
993	0.06065944289
994	0.06058979925
995	0.06055515972
996	0.06050479143
997	0.06048757945
998	0.06045247871
999	0.06040088402
